,Character,Attribute,Values
720,Kennen,Magic resist.,30 - 115.0
721,Kennen,Crit. damage,175%
722,Kennen,Move. speed,335
723,Kennen,Attack range,550
724,Kennen,Base AS,0.625
725,Kennen,Bonus AS,34
726,Kha%27Zix,Health,573 - 2018.0
727,Kha%27Zix,Mana,3272 - 3952.0
728,Kha%27Zix,Health regen.,75 - 1350.0
729,Kha%27Zix,Mana regen.,759 - 844.0
730,Kha%27Zix,Armor,36 - 87.0
731,Kha%27Zix,Attack damage,63 - 590.0
732,Kha%27Zix,Magic resist.,32 - 2157.0
733,Kha%27Zix,Crit. damage,175%
734,Kha%27Zix,Move. speed,350
735,Kha%27Zix,Attack range,125
736,Kha%27Zix,Base AS,0.668
737,Kha%27Zix,Bonus AS,27
738,Kindred,Health,540 - 1985.0
739,Kindred,Mana,300 - 895.0
740,Kindred,Health regen.,7 - 942.0
741,Kindred,Mana regen.,7 - 75.0
742,Kindred,Armor,29 - 624.0
743,Kindred,Attack damage,65 - 490.0
744,Kindred,Magic resist.,30 - 115.0
745,Kindred,Crit. damage,175%
746,Kindred,Move. speed,325
747,Kindred,Attack range,500
748,Kindred,Base AS,0.625
749,Kindred,Bonus AS,35
750,Kled,Health,740 - 2950.0
751,Kled,Health regen.,6 - 1281.0
752,Kled,Secondary BarCourage, Courage
753,Kled,Armor,35 - 103.0
754,Kled,Attack damage,65 - 660.0
755,Kled,Magic resist.,28 - 2153.0
756,Kled,Crit. damage,175%
757,Kled,Move. speed,345
758,Kled,Attack range,125
759,Kled,Base AS,0.625
760,Kled,Bonus AS,35
761,Kog%27Maw,Health,565 - 2010.0
762,Kog%27Maw,Mana,325 - 1005.0
763,Kog%27Maw,Health regen.,375 - 1310.0
764,Kog%27Maw,Mana regen.,875 - 994.0
765,Kog%27Maw,Armor,24 - 5549.0
766,Kog%27Maw,Attack damage,61 - 5348.0
767,Kog%27Maw,Magic resist.,30 - 115.0
768,Kog%27Maw,Crit. damage,175%
769,Kog%27Maw,Move. speed,330
770,Kog%27Maw,Attack range,500
771,Kog%27Maw,Base AS,0.665
772,Kog%27Maw,Bonus AS,265
773,Kog%27Maw,Missile speed,1800
774,LeBlanc,Health,528 - 2177.0
775,LeBlanc,Mana,334 - 1184.0
776,LeBlanc,Health regen.,75 - 1010.0
777,LeBlanc,Mana regen.,6 - 142.0
778,LeBlanc,Armor,22 - 617.0
779,LeBlanc,Attack damage,55 - 650.0
780,LeBlanc,Magic resist.,30 - 115.0
781,LeBlanc,Crit. damage,175%
782,LeBlanc,Move. speed,340
783,LeBlanc,Attack range,525
784,LeBlanc,Base AS,0.625
785,LeBlanc,Bonus AS,14
786,LeBlanc,Attack speed,100% of LeBlanc's
787,LeBlanc,Range,5251125
788,Lee_Sin,Health,575 - 2020.0
789,Lee_Sin,Energy,200 - 200.0
790,Lee_Sin,Health regen.,75 - 194.0
791,Lee_Sin,Energy regen.,50
792,Lee_Sin,Armor,36 - 665.0
793,Lee_Sin,Attack damage,70 - 699.0
794,Lee_Sin,Magic resist.,32 - 2157.0
795,Lee_Sin,Crit. damage,175%
796,Lee_Sin,Move. speed,345
797,Lee_Sin,Attack range,125
798,Lee_Sin,Base AS,0.651
799,Lee_Sin,Bonus AS,3
800,Leona,Health,576 - 2055.0
801,Leona,Mana,3022 - 3702.0
802,Leona,Health regen.,85 - 1530.0
803,Leona,Mana regen.,6 - 142.0
804,Leona,Armor,47 - 659.0
805,Leona,Attack damage,60 - 111.0
806,Leona,Magic resist.,32 - 2157.0
807,Leona,Crit. damage,175%
808,Leona,Move. speed,335
809,Leona,Attack range,125
810,Leona,Base AS,0.625
811,Leona,Bonus AS,29
812,Lillia,Health,580 - 2110.0
813,Lillia,Mana,410 - 1260.0
814,Lillia,Health regen.,9 - 1284.0
815,Lillia,Mana regen.,115 - 1730.0
816,Lillia,Armor,20 - 88.0
817,Lillia,Attack damage,61 - 588.0
818,Lillia,Magic resist.,32 - 117.0
819,Lillia,Crit. damage,175%
820,Lillia,Move. speed,330
821,Lillia,Attack range,325
822,Lillia,Base AS,0.625
823,Lillia,Bonus AS,27
824,Lillia,Missile speed,Non-projectile
825,Lillia,MagicTrue, Magic True
826,Lissandra,Health,550 - 2080.0
827,Lissandra,Mana,475 - 985.0
828,Lissandra,Health regen.,7 - 942.0
829,Lissandra,Mana regen.,8 - 76.0
830,Lissandra,Armor,22 - 651.0
831,Lissandra,Attack damage,53 - 512.0
832,Lissandra,Magic resist.,30 - 115.0
833,Lissandra,Crit. damage,175%
834,Lissandra,Move. speed,325
835,Lissandra,Attack range,550
836,Lissandra,Base AS,0.656
837,Lissandra,Bonus AS,136
838,Lucian,Health,571 - 2033.0
839,Lucian,Mana,34888 - 35534.0
840,Lucian,Health regen.,375 - 1480.0
841,Lucian,Mana regen.,8176 - 8295.0
842,Lucian,Armor,28 - 79.0
843,Lucian,Attack damage,64 - 455.0
844,Lucian,Magic resist.,30 - 115.0
845,Lucian,Crit. damage,175%
846,Lucian,Move. speed,335
847,Lucian,Attack range,500
848,Lucian,Base AS,0.638
849,Lucian,Bonus AS,33
850,Lulu,Health,525 - 1783.0
851,Lulu,Mana,350 - 1285.0
852,Lulu,Health regen.,6 - 108.0
853,Lulu,Mana regen.,11 - 113.0
854,Lulu,Armor,29 - 658.0
855,Lulu,Attack damage,47 - 489.0
856,Lulu,Magic resist.,30 - 115.0
857,Lulu,Crit. damage,175%
858,Lulu,Move. speed,330
859,Lulu,Attack range,550
860,Lulu,Base AS,0.625
861,Lulu,Bonus AS,225
862,Lux,Health,490 - 1935.0
863,Lux,Mana,480 - 4475.0
864,Lux,Health regen.,55 - 990.0
865,Lux,Mana regen.,8 - 144.0
866,Lux,Armor,19 - 87.0
867,Lux,Attack damage,54 - 615.0
868,Lux,Magic resist.,30 - 115.0
869,Lux,Crit. damage,175%
870,Lux,Move. speed,330
871,Lux,Attack range,550
872,Lux,Base AS,0.669
873,Lux,Bonus AS,1
874,Malphite,Health,574 - 2104.0
875,Malphite,Mana,280 - 1300.0
876,Malphite,Health regen.,7 - 942.0
877,Malphite,Mana regen.,7324 - 8259.0
878,Malphite,Armor,37 - 6412.0
879,Malphite,Attack damage,62 - 130.0
880,Malphite,Magic resist.,28 - 2153.0
881,Malphite,Crit. damage,175%
882,Malphite,Move. speed,335
883,Malphite,Attack range,125
884,Malphite,Base AS,0.736
885,Malphite,Bonus AS,34
886,Malzahar,Health,537 - 2016.0
887,Malzahar,Mana,375 - 5050.0
888,Malzahar,Health regen.,6 - 108.0
889,Malzahar,Mana regen.,8 - 144.0
890,Malzahar,Armor,18 - 613.0
891,Malzahar,Attack damage,55 - 106.0
892,Malzahar,Magic resist.,30 - 115.0
893,Malzahar,Crit. damage,175%
894,Malzahar,Move. speed,335
895,Malzahar,Attack range,500
896,Malzahar,Base AS,0.625
897,Malzahar,Bonus AS,15
898,Malzahar,Magic damage,56455645 - 20697206585.0
899,Malzahar,Attack speed,0.665 − 0.891 (based on level)0.665 − 0.891 (based on level)
900,Malzahar,Range,"

100
"
901,Malzahar,Magic res.,8 − 25 (based on level)8 − 25 (based on level)
902,Malzahar,Incoming damage modifier,"
Turret and champion basic attacks will kill Voidlings regardless of health.
"
903,Malzahar,Mov. speed,400
904,Maokai,Health,565 - 2180.0
905,Maokai,Mana,375 - 1106.0
906,Maokai,Health regen.,5 - 1280.0
907,Maokai,Mana regen.,72 - 174.0
908,Maokai,Armor,39 - 107.0
909,Maokai,Attack damage,64 - 625.0
910,Maokai,Magic resist.,32 - 2157.0
911,Maokai,Crit. damage,175%
912,Maokai,Move. speed,335
913,Maokai,Attack range,125
914,Maokai,Base AS,0.8
915,Maokai,Bonus AS,2125
916,Maokai,Magic damage,255075100125 - 386412982011.0
917,Maokai,Range,"

1100
"
918,Maokai,Mov. speed,400 - 460400 - 460
919,Master_Yi,Health,599 - 2163.0
920,Master_Yi,Mana,25056 - 25770.0
921,Master_Yi,Health regen.,75 - 1180.0
922,Master_Yi,Mana regen.,7256 - 8021.0
923,Master_Yi,Armor,33 - 84.0
924,Master_Yi,Attack damage,66 - 117.0
925,Master_Yi,Magic resist.,32 - 2157.0
926,Master_Yi,Crit. damage,175%
927,Master_Yi,Move. speed,355
928,Master_Yi,Attack range,125
929,Master_Yi,Base AS,0.679
930,Master_Yi,Bonus AS,2
931,Miss_Fortune,Health,570 - 2151.0
932,Miss_Fortune,Mana,32584 - 33179.0
933,Miss_Fortune,Health regen.,375 - 1480.0
934,Miss_Fortune,Mana regen.,8042 - 9147.0
935,Miss_Fortune,Armor,28 - 79.0
936,Miss_Fortune,Attack damage,52 - 511.0
937,Miss_Fortune,Magic resist.,30 - 115.0
938,Miss_Fortune,Crit. damage,175%
939,Miss_Fortune,Move. speed,325
940,Miss_Fortune,Attack range,550
941,Miss_Fortune,Base AS,0.656
942,Miss_Fortune,Bonus AS,3
943,Mordekaiser,Health,575 - 2105.0
944,Mordekaiser,Health regen.,5 - 1280.0
945,Mordekaiser,Secondary BarShield, Shield
946,Mordekaiser,Armor,37 - 88.0
947,Mordekaiser,Attack damage,61 - 129.0
948,Mordekaiser,Magic resist.,32 - 2157.0
949,Mordekaiser,Crit. damage,175%
950,Mordekaiser,Move. speed,335
951,Mordekaiser,Attack range,175
952,Mordekaiser,Base AS,0.625
953,Mordekaiser,Bonus AS,1
954,Morgana,Health,560 - 2090.0
955,Morgana,Mana,340 - 1360.0
956,Morgana,Health regen.,55 - 123.0
957,Morgana,Mana regen.,11 - 79.0
958,Morgana,Armor,25 - 671.0
959,Morgana,Attack damage,56 - 651.0
960,Morgana,Magic resist.,30 - 115.0
961,Morgana,Crit. damage,175%
962,Morgana,Move. speed,335
963,Morgana,Attack range,450
964,Morgana,Base AS,0.625
965,Morgana,Bonus AS,153
966,Nami,Health,475 - 1733.0
967,Nami,Mana,365 - 1096.0
968,Nami,Health regen.,55 - 990.0
969,Nami,Mana regen.,115 - 183.0
970,Nami,Armor,29 - 97.0
971,Nami,Attack damage,51 - 578.0
972,Nami,Magic resist.,30 - 115.0
973,Nami,Crit. damage,175%
974,Nami,Move. speed,335
975,Nami,Attack range,550
976,Nami,Base AS,0.644
977,Nami,Bonus AS,261
978,Nasus,Health,561 - 2091.0
979,Nasus,Mana,3256 - 4310.0
980,Nasus,Health regen.,9 - 162.0
981,Nasus,Mana regen.,744 - 829.0
982,Nasus,Armor,34 - 629.0
983,Nasus,Attack damage,67 - 662.0
984,Nasus,Magic resist.,32 - 2157.0
985,Nasus,Crit. damage,175%
986,Nasus,Move. speed,350
987,Nasus,Attack range,125
988,Nasus,Base AS,0.638
989,Nasus,Bonus AS,348
990,Nautilus,Health,576 - 2038.0
991,Nautilus,Mana,400 - 1199.0
992,Nautilus,Health regen.,85 - 1020.0
993,Nautilus,Mana regen.,8626 - 8711.0
994,Nautilus,Armor,39 - 6414.0
995,Nautilus,Attack damage,61 - 622.0
996,Nautilus,Magic resist.,32 - 2157.0
997,Nautilus,Crit. damage,175%
998,Nautilus,Move. speed,325
999,Nautilus,Attack range,175
1000,Nautilus,Base AS,0.706
1001,Nautilus,Bonus AS,1
1002,Neeko,Health,540 - 2070.0
1003,Neeko,Mana,450 - 960.0
1004,Neeko,Health regen.,75 - 1350.0
1005,Neeko,Mana regen.,7 - 126.0
1006,Neeko,Armor,21 - 89.0
1007,Neeko,Attack damage,48 - 473.0
1008,Neeko,Magic resist.,30 - 115.0
1009,Neeko,Crit. damage,175%
1010,Neeko,Move. speed,340
1011,Neeko,Attack range,550
1012,Neeko,Base AS,0.625
1013,Neeko,Bonus AS,35
1014,Nidalee,Health,545 - 1990.0
1015,Nidalee,Mana,295 - 1060.0
1016,Nidalee,Health regen.,6 - 108.0
1017,Nidalee,Mana regen.,6 - 142.0
1018,Nidalee,Armor,28 - 623.0
1019,Nidalee,Attack damage,58 - 653.0
1020,Nidalee,Magic resist.,30 - 115.0
1021,Nidalee,Crit. damage,175%
1022,Nidalee,Move. speed,335
1023,Nidalee,Attack range,525
1024,Nidalee,Base AS,0.638
1025,Nidalee,Bonus AS,322
1026,Nocturne,Health,585 - 2030.0
1027,Nocturne,Mana,275 - 870.0
1028,Nocturne,Health regen.,7 - 1282.0
1029,Nocturne,Mana regen.,7 - 772.0
1030,Nocturne,Armor,38 - 633.0
1031,Nocturne,Attack damage,62 - 589.0
1032,Nocturne,Magic resist.,32 - 1307.0
1033,Nocturne,Crit. damage,175%
1034,Nocturne,Move. speed,345
1035,Nocturne,Attack range,125
1036,Nocturne,Base AS,0.721
1037,Nocturne,Bonus AS,27
1038,Nunu_&_Willump,Health,540 - 1934.0
1039,Nunu_&_Willump,Mana,280 - 994.0
1040,Nunu_&_Willump,Health regen.,5 - 141.0
1041,Nunu_&_Willump,Mana regen.,7 - 92.0
1042,Nunu_&_Willump,Armor,29 - 80.0
1043,Nunu_&_Willump,Attack damage,61 - 112.0
1044,Nunu_&_Willump,Magic resist.,32 - 2157.0
1045,Nunu_&_Willump,Crit. damage,175%
1046,Nunu_&_Willump,Move. speed,340
1047,Nunu_&_Willump,Attack range,125
1048,Nunu_&_Willump,Base AS,0.625
1049,Nunu_&_Willump,Bonus AS,225
1050,Nunu_&_Willump,True damageMagic damage, True damage Magic damage
1051,Olaf,Health,575 - 2156.0
1052,Olaf,Mana,3156 - 3870.0
1053,Olaf,Health regen.,85 - 238.0
1054,Olaf,Mana regen.,7465 - 17240.0
1055,Olaf,Armor,35 - 86.0
1056,Olaf,Attack damage,68 - 663.0
1057,Olaf,Magic resist.,32 - 2157.0
1058,Olaf,Crit. damage,175%
1059,Olaf,Move. speed,350
1060,Olaf,Attack range,125
1061,Olaf,Base AS,0.694
1062,Olaf,Bonus AS,27
1063,Orianna,Health,530 - 2077.0
1064,Orianna,Mana,418 - 843.0
1065,Orianna,Health regen.,7 - 942.0
1066,Orianna,Mana regen.,8 - 144.0
1067,Orianna,Armor,17 - 68.0
1068,Orianna,Attack damage,40 - 482.0
1069,Orianna,Magic resist.,26 - 111.0
1070,Orianna,Crit. damage,175%
1071,Orianna,Move. speed,325
1072,Orianna,Attack range,525
1073,Orianna,Base AS,0.658
1074,Orianna,Bonus AS,35
1075,Ornn,Health,590 - 2205.0
1076,Ornn,Mana,3406 - 4511.0
1077,Ornn,Health regen.,9 - 162.0
1078,Ornn,Mana regen.,801 - 903.0
1079,Ornn,Armor,33 - 101.0
1080,Ornn,Attack damage,69 - 664.0
1081,Ornn,Magic resist.,32 - 2157.0
1082,Ornn,Crit. damage,175%
1083,Ornn,Move. speed,335
1084,Ornn,Attack range,175
1085,Ornn,Base AS,0.625
1086,Ornn,Bonus AS,2
1087,Pantheon,Health,580 - 2195.0
1088,Pantheon,Mana,31712 - 32239.0
1089,Pantheon,Health regen.,9 - 1114.0
1090,Pantheon,Mana regen.,7356 - 8121.0
1091,Pantheon,Armor,40 - 6415.0
1092,Pantheon,Attack damage,64 - 625.0
1093,Pantheon,Magic resist.,28 - 2153.0
1094,Pantheon,Crit. damage,175%
1095,Pantheon,Move. speed,345
1096,Pantheon,Attack range,175
1097,Pantheon,Base AS,0.644
1098,Pantheon,Bonus AS,295
1099,Pantheon,PhysicalMagic, Physical Magic
1100,Poppy,Health,540 - 2070.0
1101,Poppy,Mana,280 - 960.0
1102,Poppy,Health regen.,8 - 144.0
1103,Poppy,Mana regen.,7 - 126.0
1104,Poppy,Armor,38 - 633.0
1105,Poppy,Attack damage,64 - 132.0
1106,Poppy,Magic resist.,32 - 2157.0
1107,Poppy,Crit. damage,175%
1108,Poppy,Move. speed,345
1109,Poppy,Attack range,125
1110,Poppy,Base AS,0.625
1111,Poppy,Bonus AS,25
1112,Pyke,Health,600 - 2130.0
1113,Pyke,Mana,415 - 1265.0
1114,Pyke,Health regen.,7 - 92.0
1115,Pyke,Mana regen.,8 - 25.0
1116,Pyke,Armor,45 - 640.0
1117,Pyke,Attack damage,62 - 96.0
1118,Pyke,Magic resist.,32 - 2157.0
1119,Pyke,Crit. damage,175%
1120,Pyke,Move. speed,330
1121,Pyke,Attack range,150
1122,Pyke,Base AS,0.667
1123,Pyke,Bonus AS,25
1124,Pyke,Physical damageTrue damage, Physical damagePhysical damage True damageTrue damage
1125,Qiyana,Health,590 - 2120.0
1126,Qiyana,Mana,320 - 1170.0
1127,Qiyana,Health regen.,9 - 162.0
1128,Qiyana,Mana regen.,8 - 127.0
1129,Qiyana,Armor,28 - 623.0
1130,Qiyana,Attack damage,66 - 593.0
1131,Qiyana,Magic resist.,32 - 2157.0
1132,Qiyana,Crit. damage,175%
1133,Qiyana,Move. speed,335
1134,Qiyana,Attack range,150
1135,Qiyana,Base AS,0.625
1136,Qiyana,Bonus AS,21
1137,Quinn,Health,533 - 1978.0
1138,Quinn,Mana,2688 - 3283.0
1139,Quinn,Health regen.,55 - 990.0
1140,Quinn,Mana regen.,6972 - 7040.0
1141,Quinn,Armor,28 - 623.0
1142,Quinn,Attack damage,59 - 467.0
1143,Quinn,Magic resist.,30 - 115.0
1144,Quinn,Crit. damage,175%
1145,Quinn,Move. speed,335
1146,Quinn,Attack range,525
1147,Quinn,Base AS,0.668
1148,Quinn,Bonus AS,31
1149,Rakan,Health,540 - 1985.0
1150,Rakan,Mana,315 - 1165.0
1151,Rakan,Health regen.,5 - 90.0
1152,Rakan,Mana regen.,875 - 960.0
1153,Rakan,Armor,32 - 695.0
1154,Rakan,Attack damage,62 - 657.0
1155,Rakan,Magic resist.,32 - 2157.0
1156,Rakan,Crit. damage,175%
1157,Rakan,Move. speed,335
1158,Rakan,Attack range,300
1159,Rakan,Base AS,0.635
1160,Rakan,Bonus AS,3
1161,Rakan,Missile speed,Non-projectile
1162,Rammus,Health,564 - 1924.0
1163,Rammus,Mana,31044 - 31605.0
1164,Rammus,Health regen.,8 - 943.0
1165,Rammus,Mana regen.,784 - 869.0
1166,Rammus,Armor,36 - 767.0
1167,Rammus,Attack damage,56 - 651.0
1168,Rammus,Magic resist.,32 - 2157.0
1169,Rammus,Crit. damage,175%
1170,Rammus,Move. speed,335
1171,Rammus,Attack range,125
1172,Rammus,Base AS,0.656
1173,Rammus,Bonus AS,2215
1174,Rek%27Sai,Health,570 - 2015.0
1175,Rek%27Sai,Health regen.,75 - 1180.0
1176,Rek%27Sai,Secondary BarRage, Rage
1177,Rek%27Sai,Armor,36 - 6411.0
1178,Rek%27Sai,Attack damage,64 - 115.0
1179,Rek%27Sai,Magic resist.,32 - 2157.0
1180,Rek%27Sai,Crit. damage,175%
1181,Rek%27Sai,Move. speed,335
1182,Rek%27Sai,Attack range,175
1183,Rek%27Sai,Base AS,0.667
1184,Rek%27Sai,Bonus AS,2
1185,Rek%27Sai,Physical damageTrue damage, Physical damagePhysical damage True damageTrue damage
1186,Rell,Health,540 - 2070.0
1187,Rell,Mana,350 - 1115.0
1188,Rell,Health regen.,7 - 942.0
1189,Rell,Mana regen.,6 - 601.0
1190,Rell,Armor,32 - 83.0
1191,Rell,Attack damage,55 - 106.0
1192,Rell,Magic resist.,32 - 2157.0
1193,Rell,Crit. damage,175%
1194,Rell,Move. speed,335
1195,Rell,Attack range,175
1196,Rell,Base AS,0.55
1197,Rell,Bonus AS,2
1198,Renekton,Health,575 - 2054.0
1199,Renekton,Health regen.,8 - 1283.0
1200,Renekton,Secondary BarFury, Fury
1201,Renekton,Armor,35 - 103.0
1202,Renekton,Attack damage,69 - 6444.0
1203,Renekton,Magic resist.,32 - 2157.0
1204,Renekton,Crit. damage,175%
1205,Renekton,Move. speed,345
1206,Renekton,Attack range,125
1207,Renekton,Base AS,0.665
1208,Renekton,Bonus AS,275
1209,Rengar,Health,585 - 2115.0
1210,Rengar,Health regen.,7 - 92.0
1211,Rengar,Secondary BarFerocity, Ferocity
1212,Rengar,Armor,34 - 85.0
1213,Rengar,Attack damage,68 - 119.0
1214,Rengar,Magic resist.,32 - 2157.0
1215,Rengar,Crit. damage,175%
1216,Rengar,Move. speed,345
1217,Rengar,Attack range,125
1218,Rengar,Base AS,0.667
1219,Rengar,Bonus AS,3
1220,Riven,Health,560 - 2022.0
1221,Riven,Health regen.,85 - 170.0
1222,Riven,Armor,33 - 577.0
1223,Riven,Attack damage,64 - 115.0
1224,Riven,Magic resist.,32 - 2157.0
1225,Riven,Crit. damage,175%
1226,Riven,Move. speed,340
1227,Riven,Attack range,125
1228,Riven,Base AS,0.625
1229,Riven,Bonus AS,35
1230,Rumble,Health,589 - 2034.0
1231,Rumble,Health regen.,8 - 110.0
1232,Rumble,Secondary BarHeat, Heat
1233,Rumble,Armor,31 - 626.0
1234,Rumble,Attack damage,61 - 605.0
1235,Rumble,Magic resist.,32 - 2157.0
1236,Rumble,Crit. damage,175%
1237,Rumble,Move. speed,345
1238,Rumble,Attack range,125
1239,Rumble,Base AS,0.644
1240,Rumble,Bonus AS,185
1241,Ryze,Health,575 - 2241.0
1242,Ryze,Mana,300 - 1490.0
1243,Ryze,Health regen.,8 - 144.0
1244,Ryze,Mana regen.,8 - 25.0
1245,Ryze,Armor,22 - 73.0
1246,Ryze,Attack damage,58 - 109.0
1247,Ryze,Magic resist.,36 - 121.0
1248,Ryze,Crit. damage,175%
1249,Ryze,Move. speed,340
1250,Ryze,Attack range,550
1251,Ryze,Base AS,0.625
1252,Ryze,Bonus AS,2112
1253,Samira,Health,530 - 2026.0
1254,Samira,Mana,34888 - 35534.0
1255,Samira,Health regen.,325 - 1260.0
1256,Samira,Mana regen.,8176 - 8295.0
1257,Samira,Armor,26 - 77.0
1258,Samira,Attack damage,57 - 108.0
1259,Samira,Magic resist.,30 - 115.0
1260,Samira,Crit. damage,175%
1261,Samira,Move. speed,335
1262,Samira,Attack range,500
1263,Samira,Base AS,0.658
1264,Samira,Bonus AS,33
1265,Sejuani,Health,560 - 2260.0
1266,Sejuani,Mana,400 - 1080.0
1267,Sejuani,Health regen.,85 - 102.0
1268,Sejuani,Mana regen.,7 - 126.0
1269,Sejuani,Armor,34 - 7259.0
1270,Sejuani,Attack damage,66 - 134.0
1271,Sejuani,Magic resist.,32 - 2157.0
1272,Sejuani,Crit. damage,175%
1273,Sejuani,Move. speed,340
1274,Sejuani,Attack range,150
1275,Sejuani,Base AS,0.688
1276,Sejuani,Bonus AS,35
1277,Senna,Health,520 - 1795.0
1278,Senna,Mana,350 - 1115.0
1279,Senna,Health regen.,35 - 970.0
1280,Senna,Mana regen.,115 - 183.0
1281,Senna,Armor,28 - 623.0
1282,Senna,Attack damage,50 - 50.0
1283,Senna,Magic resist.,30 - 115.0
1284,Senna,Crit. damage, 175% ( ×  0.86)
1285,Senna,Move. speed,330
1286,Senna,Attack range,600
1287,Senna,Base AS,0.625
1288,Senna,Bonus AS,4
1289,Senna,Missile speed,Non-projectile
1290,Senna,Incoming damage modifierPiercing DarknessDawning Shadow, Piercing DarknessPiercing Darkness Dawning ShadowDawning Shadow
1291,Senna,Mov. speed,"

Static
"
1292,Seraphine,Health,500 - 2030.0
1293,Seraphine,Mana,440 - 1120.0
1294,Seraphine,Health regen.,65 - 167.0
1295,Seraphine,Mana regen.,8 - 25.0
1296,Seraphine,Armor,19 - 70.0
1297,Seraphine,Attack damage,50 - 101.0
1298,Seraphine,Magic resist.,30 - 115.0
1299,Seraphine,Crit. damage,175%
1300,Seraphine,Move. speed,325
1301,Seraphine,Attack range,525
1302,Seraphine,Base AS,0.669
1303,Seraphine,Bonus AS,1
1304,Sett,Health,600 - 2181.0
1305,Sett,Health regen.,7 - 92.0
1306,Sett,Secondary BarGrit, Grit
1307,Sett,Armor,33 - 101.0
1308,Sett,Attack damage,60 - 128.0
1309,Sett,Magic resist.,32 - 2157.0
1310,Sett,Crit. damage,175%
1311,Sett,Move. speed,340
1312,Sett,Attack range,125
1313,Sett,Base AS,0.625
1314,Sett,Bonus AS,175
1315,Sett,Physical damageTrue damage, Physical damagePhysical damage True damageTrue damage
1316,Shaco,Health,587 - 2100.0
1317,Shaco,Mana,2972 - 3652.0
1318,Shaco,Health regen.,85 - 1020.0
1319,Shaco,Mana regen.,7156 - 7921.0
1320,Shaco,Armor,30 - 625.0
1321,Shaco,Attack damage,63 - 114.0
1322,Shaco,Magic resist.,32 - 2157.0
1323,Shaco,Crit. damage,175%
1324,Shaco,Move. speed,350
1325,Shaco,Attack range,125
1326,Shaco,Base AS,0.694
1327,Shaco,Bonus AS,3
1328,Shaco,Sight radius,"

700
"
1329,Shaco,Attack speed,2
1330,Shaco,Range,"

300
"
1331,Shaco,Magic res.,100
1332,Shaco,Incoming damage modifierturrets,33% maximum health100% maximum health turrets
1333,Shaco,CC resist.Disarm, Disarm
1334,Shaco,Mov. speed,"

Static
"
1335,Shen,Health,540 - 1985.0
1336,Shen,Energy,400 - 400.0
1337,Shen,Health regen.,85 - 1360.0
1338,Shen,Energy regen.,50
1339,Shen,Armor,34 - 85.0
1340,Shen,Attack damage,60 - 111.0
1341,Shen,Magic resist.,32 - 2157.0
1342,Shen,Crit. damage,175%
1343,Shen,Move. speed,340
1344,Shen,Attack range,125
1345,Shen,Base AS,0.751
1346,Shen,Bonus AS,3
1347,Shyvana,Health,595 - 2210.0
1348,Shyvana,Health regen.,85 - 221.0
1349,Shyvana,Secondary BarFury, Fury
1350,Shyvana,Armor,38 - 5733.0
1351,Shyvana,Attack damage,66 - 644.0
1352,Shyvana,Magic resist.,32 - 2157.0
1353,Shyvana,Crit. damage,175%
1354,Shyvana,Move. speed,350
1355,Shyvana,Attack range,125
1356,Shyvana,Base AS,0.658
1357,Shyvana,Bonus AS,25
1358,Singed,Health,580 - 2025.0
1359,Singed,Mana,330 - 1095.0
1360,Singed,Health regen.,95 - 1030.0
1361,Singed,Mana regen.,75 - 1010.0
1362,Singed,Armor,34 - 629.0
1363,Singed,Attack damage,63 - 5809.0
1364,Singed,Magic resist.,32 - 2157.0
1365,Singed,Crit. damage,175%
1366,Singed,Move. speed,345
1367,Singed,Attack range,125
1368,Singed,Base AS,0.613
1369,Singed,Bonus AS,19
1370,Sion,Health,545 - 1786.0
1371,Sion,Mana,330 - 1044.0
1372,Sion,Health regen.,75 - 211.0
1373,Sion,Mana regen.,8 - 110.0
1374,Sion,Armor,32 - 83.0
1375,Sion,Attack damage,68 - 136.0
1376,Sion,Magic resist.,32 - 2157.0
1377,Sion,Crit. damage,175%
1378,Sion,Move. speed,345
1379,Sion,Attack range,175
1380,Sion,Base AS,0.679
1381,Sion,Bonus AS,13
1382,Sivir,Health,562 - 2092.0
1383,Sivir,Mana,325 - 1175.0
1384,Sivir,Health regen.,325 - 1260.0
1385,Sivir,Mana regen.,8 - 161.0
1386,Sivir,Armor,26 - 5551.0
1387,Sivir,Attack damage,63 - 114.0
1388,Sivir,Magic resist.,30 - 115.0
1389,Sivir,Crit. damage,175%
1390,Sivir,Move. speed,335
1391,Sivir,Attack range,500
1392,Sivir,Base AS,0.625
1393,Sivir,Bonus AS,16
1394,Skarner,Health,580 - 2025.0
1395,Skarner,Mana,320 - 1340.0
1396,Skarner,Health regen.,9 - 1454.0
1397,Skarner,Mana regen.,72 - 837.0
1398,Skarner,Armor,38 - 684.0
1399,Skarner,Attack damage,65 - 830.0
1400,Skarner,Magic resist.,32 - 2157.0
1401,Skarner,Crit. damage,175%
1402,Skarner,Move. speed,335
1403,Skarner,Attack range,125
1404,Skarner,Base AS,0.625
1405,Skarner,Bonus AS,21
1406,Skarner,Physical damageMagic damage, Physical damage Magic damage
1407,Skarner,Magic damagePhysical damage, Magic damage Physical damage
1408,Skarner,PhysicalMagic, Physical Magic
1409,Sona,Health,480 - 1789.0
1410,Sona,Mana,340 - 1105.0
1411,Sona,Health regen.,55 - 990.0
1412,Sona,Mana regen.,115 - 183.0
1413,Sona,Armor,28 - 589.0
1414,Sona,Attack damage,49 - 100.0
1415,Sona,Magic resist.,30 - 115.0
